Timestamp,Total Score,Area,Distance Preferred,Parking Options,Cost Per Hour,Type of Parking,Type of Area,CCTV Security,Water Service,Other Feedback
2024/01/01 07:06:35 AM GMT+5:30,8.84 / 0,286 sq feet,City Center,Street parking,33 rs,Perpendicular parking,Open area,No,Yes,Good one
2024/08/28 01:57:39 AM GMT+5:30,0.52 / 0,220 sq feet,City Center,Residential area,96 rs,Angle parking,Closed area,Yes,Yes,
2024/01/03 02:48:22 PM GMT+5:30,5.46 / 0,266 sq feet,Harohalli,Street parking,99 rs,Parallel parking,Closed area,No,Yes,Good one
2024/02/19 07:30:07 PM GMT+5:30,9.78 / 0,585 sq feet,Harohalli,Commercial area,15 rs,Perpendicular parking,Closed area,Yes,Yes,Cost should be relevant
2024/05/15 04:25:29 PM GMT+5:30,4.59 / 0,106 sq feet,Kanakpura,Commercial area,52 rs,Perpendicular parking,Open area,No,No,Cost should be relevant
2024/03/04 10:23:55 AM GMT+5:30,4.91 / 0,308 sq feet,Suburban Area,Commercial area,73 rs,Perpendicular parking,Open area,No,No,Good feedback
2024/04/17 02:36:46 AM GMT+5:30,9.11 / 0,89 sq feet,City Center,Street parking,39 rs,Perpendicular parking,Closed area,Yes,No,Good feedback
2024/07/20 09:35:17 PM GMT+5:30,6.26 / 0,36 sq feet,Suburban Area,Street parking,71 rs,Angle parking,Open area,Yes,No,Cost should be relevant
2024/09/23 01:09:31 AM GMT+5:30,8.14 / 0,936 sq feet,Kanakpura,Residential area,70 rs,Parallel parking,Closed area,No,No,Cost should be relevant
2024/06/10 08:58:59 AM GMT+5:30,7.73 / 0,379 sq feet,Kanakpura,Commercial area,74 rs,Angle parking,Closed area,Yes,No,
2024/08/12 12:35:16 PM GMT+5:30,0.02 / 0,195 sq feet,City Center,Street parking,65 rs,Angle parking,Open area,Yes,No,Good feedback
2024/04/14 10:04:49 AM GMT+5:30,7.61 / 0,744 sq feet,City Center,Street parking,59 rs,Parallel parking,Open area,Yes,Yes,Good one
2024/07/21 10:54:16 PM GMT+5:30,4.99 / 0,574 sq feet,Suburban Area,Residential area,77 rs,Perpendicular parking,Open area,No,No,Cost should be relevant
2024/07/18 06:18:57 PM GMT+5:30,5.91 / 0,504 sq feet,City Center,Residential area,85 rs,Parallel parking,Closed area,No,Yes,Cost should be relevant
2024/09/04 02:57:46 PM GMT+5:30,9.41 / 0,12 sq feet,Harohalli,Commercial area,56 rs,Perpendicular parking,Closed area,Yes,No,Good one
2024/01/27 01:43:03 PM GMT+5:30,4.18 / 0,217 sq feet,Suburban Area,Residential area,67 rs,Parallel parking,Closed area,No,No,Good feedback
2024/01/20 11:01:25 PM GMT+5:30,7.78 / 0,634 sq feet,Suburban Area,Residential area,12 rs,Perpendicular parking,Closed area,No,Yes,
2024/09/01 11:20:33 PM GMT+5:30,3.10 / 0,537 sq feet,City Center,Street parking,64 rs,Perpendicular parking,Open area,Yes,Yes,
2024/03/11 04:44:38 AM GMT+5:30,8.89 / 0,222 sq feet,Harohalli,Street parking,74 rs,Angle parking,Closed area,No,Yes,
2024/03/16 08:46:52 PM GMT+5:30,4.29 / 0,812 sq feet,City Center,Residential area,99 rs,Perpendicular parking,Closed area,No,No,Good one
2024/06/03 01:50:44 AM GMT+5:30,8.64 / 0,543 sq feet,Harohalli,Residential area,47 rs,Angle parking,Open area,No,No,Good feedback
2024/08/08 05:45:17 PM GMT+5:30,9.12 / 0,85 sq feet,Harohalli,Residential area,97 rs,Parallel parking,Open area,No,No,Good one
2024/01/17 03:29:58 PM GMT+5:30,3.80 / 0,380 sq feet,Kanakpura,Commercial area,16 rs,Perpendicular parking,Closed area,Yes,No,Cost should be relevant
2024/01/25 10:58:19 AM GMT+5:30,3.87 / 0,775 sq feet,Kanakpura,Street parking,40 rs,Perpendicular parking,Open area,No,No,
2024/01/11 09:20:00 AM GMT+5:30,8.08 / 0,579 sq feet,Kanakpura,Commercial area,43 rs,Perpendicular parking,Closed area,No,Yes,
2024/03/24 07:27:07 AM GMT+5:30,1.54 / 0,618 sq feet,Harohalli,Street parking,48 rs,Parallel parking,Open area,No,Yes,Cost should be relevant
2024/04/03 06:32:00 AM GMT+5:30,5.13 / 0,30 sq feet,City Center,Commercial area,84 rs,Parallel parking,Open area,Yes,Yes,Cost should be relevant
2024/06/27 09:02:02 AM GMT+5:30,5.81 / 0,268 sq feet,City Center,Residential area,96 rs,Perpendicular parking,Closed area,No,No,Cost should be relevant
2024/06/12 11:29:49 AM GMT+5:30,9.10 / 0,230 sq feet,Kanakpura,Street parking,17 rs,Perpendicular parking,Open area,Yes,No,
2024/07/05 01:46:50 PM GMT+5:30,2.51 / 0,833 sq feet,City Center,Commercial area,41 rs,Parallel parking,Open area,Yes,Yes,Cost should be relevant
2024/01/02 01:47:24 AM GMT+5:30,8.25 / 0,587 sq feet,Kanakpura,Street parking,92 rs,Parallel parking,Closed area,Yes,No,Good one
2024/04/21 03:43:21 PM GMT+5:30,9.35 / 0,395 sq feet,Suburban Area,Residential area,16 rs,Perpendicular parking,Open area,No,No,Good one
2024/05/20 05:13:38 PM GMT+5:30,3.22 / 0,894 sq feet,Harohalli,Commercial area,38 rs,Parallel parking,Open area,Yes,Yes,
2024/07/29 06:39:51 PM GMT+5:30,4.39 / 0,492 sq feet,City Center,Street parking,18 rs,Angle parking,Open area,No,Yes,
2024/01/21 04:32:20 AM GMT+5:30,2.63 / 0,210 sq feet,Harohalli,Residential area,58 rs,Parallel parking,Closed area,No,No,Cost should be relevant
2024/01/01 12:11:39 PM GMT+5:30,1.01 / 0,442 sq feet,Suburban Area,Commercial area,88 rs,Angle parking,Open area,Yes,Yes,Good feedback
2024/04/30 02:16:57 PM GMT+5:30,4.76 / 0,364 sq feet,Harohalli,Commercial area,82 rs,Perpendicular parking,Open area,Yes,Yes,Good feedback
2024/09/10 09:55:17 AM GMT+5:30,2.63 / 0,898 sq feet,Harohalli,Residential area,88 rs,Angle parking,Closed area,Yes,No,Cost should be relevant
2024/09/23 05:53:30 PM GMT+5:30,1.65 / 0,62 sq feet,Suburban Area,Street parking,20 rs,Perpendicular parking,Closed area,Yes,Yes,Cost should be relevant
2024/04/28 06:35:34 PM GMT+5:30,5.44 / 0,859 sq feet,Suburban Area,Commercial area,26 rs,Perpendicular parking,Open area,Yes,No,Cost should be relevant
2024/09/17 05:12:53 AM GMT+5:30,1.63 / 0,33 sq feet,Kanakpura,Street parking,16 rs,Angle parking,Open area,Yes,Yes,Cost should be relevant
2024/06/02 12:29:59 PM GMT+5:30,1.92 / 0,304 sq feet,City Center,Street parking,23 rs,Parallel parking,Closed area,No,No,Good feedback
2024/06/28 03:37:41 AM GMT+5:30,9.01 / 0,443 sq feet,Suburban Area,Commercial area,94 rs,Parallel parking,Open area,No,Yes,
2024/06/11 07:03:56 AM GMT+5:30,4.15 / 0,76 sq feet,Suburban Area,Commercial area,82 rs,Perpendicular parking,Open area,Yes,No,
2024/08/10 05:48:16 AM GMT+5:30,4.82 / 0,22 sq feet,City Center,Residential area,17 rs,Parallel parking,Open area,Yes,Yes,Cost should be relevant
2024/05/29 04:39:43 PM GMT+5:30,7.58 / 0,924 sq feet,City Center,Residential area,88 rs,Angle parking,Open area,No,No,Good one
2024/09/23 03:38:15 AM GMT+5:30,5.87 / 0,230 sq feet,City Center,Residential area,99 rs,Perpendicular parking,Open area,No,No,Good one
2024/04/05 05:30:01 PM GMT+5:30,3.01 / 0,523 sq feet,Kanakpura,Street parking,90 rs,Parallel parking,Open area,Yes,Yes,Good one
2024/02/23 09:28:35 PM GMT+5:30,8.65 / 0,991 sq feet,Suburban Area,Residential area,77 rs,Angle parking,Open area,No,No,
2024/06/04 03:54:33 PM GMT+5:30,7.57 / 0,140 sq feet,City Center,Residential area,40 rs,Angle parking,Closed area,No,No,Good one
2024/08/02 01:40:41 AM GMT+5:30,5.12 / 0,411 sq feet,Kanakpura,Street parking,98 rs,Parallel parking,Open area,Yes,Yes,Good one
2024/04/29 09:24:16 AM GMT+5:30,9.07 / 0,12 sq feet,Harohalli,Residential area,93 rs,Parallel parking,Open area,Yes,No,
2024/08/24 05:22:02 AM GMT+5:30,4.48 / 0,779 sq feet,Suburban Area,Street parking,16 rs,Angle parking,Closed area,No,Yes,Cost should be relevant
2024/02/11 10:49:38 AM GMT+5:30,9.51 / 0,822 sq feet,City Center,Street parking,58 rs,Angle parking,Closed area,Yes,No,Good feedback
2024/09/17 09:56:06 AM GMT+5:30,7.47 / 0,548 sq feet,Harohalli,Commercial area,17 rs,Angle parking,Closed area,No,Yes,Good feedback
2024/02/22 12:43:53 AM GMT+5:30,5.19 / 0,166 sq feet,Kanakpura,Street parking,80 rs,Perpendicular parking,Open area,No,No,Cost should be relevant
2024/08/17 11:02:25 AM GMT+5:30,9.95 / 0,207 sq feet,Kanakpura,Commercial area,23 rs,Parallel parking,Closed area,Yes,Yes,Good one
2024/07/01 06:16:02 PM GMT+5:30,2.25 / 0,698 sq feet,Harohalli,Commercial area,22 rs,Parallel parking,Open area,No,No,Good feedback
2024/09/14 06:18:30 PM GMT+5:30,2.80 / 0,533 sq feet,City Center,Street parking,97 rs,Perpendicular parking,Closed area,Yes,No,
2024/08/08 04:09:58 PM GMT+5:30,1.51 / 0,527 sq feet,Harohalli,Commercial area,63 rs,Perpendicular parking,Open area,Yes,No,
2024/06/28 11:46:33 AM GMT+5:30,6.92 / 0,588 sq feet,Suburban Area,Residential area,41 rs,Angle parking,Closed area,No,No,
2024/01/01 04:39:09 PM GMT+5:30,2.61 / 0,39 sq feet,City Center,Street parking,62 rs,Angle parking,Closed area,Yes,Yes,Cost should be relevant
2024/05/25 06:52:42 PM GMT+5:30,6.45 / 0,424 sq feet,City Center,Commercial area,54 rs,Angle parking,Closed area,Yes,No,
2024/02/01 01:46:16 AM GMT+5:30,5.47 / 0,312 sq feet,Harohalli,Street parking,25 rs,Angle parking,Open area,Yes,No,
2024/06/17 01:49:09 AM GMT+5:30,6.78 / 0,813 sq feet,Suburban Area,Residential area,47 rs,Perpendicular parking,Closed area,Yes,Yes,Good one
2024/03/05 12:54:40 PM GMT+5:30,4.68 / 0,709 sq feet,Suburban Area,Street parking,97 rs,Angle parking,Closed area,No,No,Cost should be relevant
2024/09/14 10:35:46 PM GMT+5:30,0.82 / 0,612 sq feet,Suburban Area,Residential area,48 rs,Perpendicular parking,Open area,No,Yes,Good one
2024/04/01 08:11:21 PM GMT+5:30,0.94 / 0,633 sq feet,Suburban Area,Residential area,56 rs,Perpendicular parking,Open area,Yes,No,
2024/03/01 07:36:25 AM GMT+5:30,6.55 / 0,675 sq feet,Suburban Area,Residential area,98 rs,Parallel parking,Open area,Yes,No,
2024/05/17 11:26:12 PM GMT+5:30,2.23 / 0,980 sq feet,City Center,Commercial area,28 rs,Perpendicular parking,Open area,Yes,Yes,
2024/08/05 04:54:33 PM GMT+5:30,8.95 / 0,702 sq feet,City Center,Residential area,33 rs,Perpendicular parking,Open area,Yes,Yes,
2024/05/18 12:35:26 AM GMT+5:30,1.14 / 0,728 sq feet,City Center,Commercial area,73 rs,Parallel parking,Closed area,Yes,Yes,Good one
2024/04/04 01:37:08 AM GMT+5:30,6.01 / 0,915 sq feet,City Center,Street parking,54 rs,Parallel parking,Open area,No,Yes,Good one
2024/08/28 09:29:29 PM GMT+5:30,1.73 / 0,507 sq feet,Harohalli,Street parking,96 rs,Perpendicular parking,Closed area,No,Yes,Good one
2024/07/31 09:08:32 PM GMT+5:30,0.61 / 0,115 sq feet,Harohalli,Residential area,28 rs,Angle parking,Open area,No,Yes,Good feedback
2024/06/13 11:57:11 AM GMT+5:30,2.07 / 0,314 sq feet,Harohalli,Street parking,34 rs,Parallel parking,Closed area,Yes,Yes,Good feedback
2024/03/23 09:49:36 PM GMT+5:30,5.24 / 0,131 sq feet,Kanakpura,Street parking,93 rs,Parallel parking,Closed area,No,Yes,Good feedback
2024/08/23 12:50:40 PM GMT+5:30,1.82 / 0,10 sq feet,City Center,Commercial area,62 rs,Perpendicular parking,Open area,Yes,No,Cost should be relevant
2024/01/06 04:09:06 PM GMT+5:30,8.93 / 0,416 sq feet,Kanakpura,Residential area,91 rs,Parallel parking,Open area,Yes,Yes,Good feedback
2024/08/30 05:19:33 PM GMT+5:30,7.92 / 0,445 sq feet,Kanakpura,Residential area,80 rs,Angle parking,Closed area,No,No,Good feedback
2024/09/25 02:15:15 AM GMT+5:30,9.89 / 0,670 sq feet,Harohalli,Street parking,18 rs,Perpendicular parking,Closed area,No,No,Cost should be relevant
2024/09/04 02:01:48 AM GMT+5:30,6.00 / 0,736 sq feet,City Center,Residential area,69 rs,Perpendicular parking,Open area,No,Yes,Cost should be relevant
2024/06/09 09:22:25 PM GMT+5:30,9.66 / 0,683 sq feet,Harohalli,Commercial area,76 rs,Parallel parking,Open area,No,Yes,
2024/03/04 07:13:27 PM GMT+5:30,9.25 / 0,407 sq feet,Kanakpura,Residential area,64 rs,Perpendicular parking,Closed area,Yes,Yes,Good one
2024/09/09 06:47:58 AM GMT+5:30,6.55 / 0,175 sq feet,Kanakpura,Commercial area,95 rs,Parallel parking,Closed area,Yes,No,Cost should be relevant
2024/07/22 01:53:47 AM GMT+5:30,5.13 / 0,500 sq feet,Suburban Area,Residential area,25 rs,Angle parking,Closed area,Yes,No,Cost should be relevant
2024/04/29 02:52:26 AM GMT+5:30,3.29 / 0,169 sq feet,Suburban Area,Commercial area,92 rs,Perpendicular parking,Open area,No,No,Good one
2024/07/09 02:25:21 AM GMT+5:30,5.36 / 0,863 sq feet,Suburban Area,Commercial area,54 rs,Angle parking,Open area,Yes,No,Good feedback
2024/09/01 04:51:15 PM GMT+5:30,0.40 / 0,376 sq feet,Suburban Area,Street parking,62 rs,Angle parking,Open area,No,No,Good one
2024/02/27 10:32:36 PM GMT+5:30,4.93 / 0,503 sq feet,City Center,Residential area,64 rs,Perpendicular parking,Open area,No,No,Good one
2024/07/28 06:30:57 AM GMT+5:30,9.00 / 0,482 sq feet,Kanakpura,Street parking,86 rs,Angle parking,Closed area,No,Yes,
